Rank,Game Title,Platform,Year,fa,Publisher,North America,Europe,Japan,Rest of World,Global
123,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.14,1.72,1.03,0.45,6.34
124,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.7,2.46,0.17,1,6.32
125,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.53,2.49,0.16,1.14,6.32
126,Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31
127,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3
128,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.31,1.33,0.06,0.61,6.3
129,Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27
130,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.32,2.58,0.11,1.24,6.25
131,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.61,1.91,0.09,0.56,6.17
132,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,2.09,2.64,0.16,1.25,6.14
133,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4,1.57,0.07,0.49,6.13
134,Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.52,1.88,0.07,0.6,6.07
135,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.33,2.5,0.25,0.98,6.07
136,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.83,1.7,0.03,0.49,6.05
137,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05
138,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03
139,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03
140,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,0,2.33,1.74,5.95
141,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.61,1.69,0.83,0.82,5.95
142,Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82
143,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,2.44,0.88,2.18,0.27,5.77
144,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.61,0.66,4.35,0.14,5.77
145,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.76,1.93,0.17,0.9,5.76
146,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74
147,FIFA 15,PS4,2014,Sports,Electronic Arts,0.58,3.51,0.03,1.54,5.66
148,Cooking Mama,DS,2006,Simulation,505 Games,3.05,1.91,0.07,0.57,5.6
149,Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58
150,Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55
151,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.52,1.49,0,0.5,5.51
152,Assassin's Creed,X360,2007,Adventure,Ubisoft,3.23,1.65,0.07,0.55,5.49
153,Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49
154,Assassin's Creed II,PS3,2009,Action,Ubisoft,2.49,1.92,0.21,0.86,5.49
155,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47
156,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.97,1.89,0.1,0.5,5.47
157,The Last of Us,PS3,2013,Adventure,Sony Computer Entertainment Europe,2.21,2.03,0.26,0.96,5.46
158,Super Mario World,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46
159,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.45,0.55,4.13,0.33,5.46
160,Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45
161,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42
162,Dr. Mario,GB,1989,Puzzle,Nintendo,2.18,0.96,2,0.2,5.34
163,Pokemon Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31
164,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3
165,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29
166,Call of Duty: World at War,PS3,2008,Shooter,Activision,2.65,1.81,0,0.81,5.27
167,Donkey Kong 64,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27
168,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.69,1.2,1.87,0.5,5.26
169,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.58,1.8,0.11,0.76,5.24
170,Tomb Raider II,PS,1997,Adventure,Eidos Interactive,2.3,2.46,0.2,0.28,5.24
171,Madden NFL 2004,PS2,N/A,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23
172,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21
173,Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2
174,Assassin's Creed II,X360,2009,Action,Ubisoft,3.05,1.55,0.08,0.51,5.19
